"country"	"year"	"arms_exports"
"Afghanistan"	2005	19
"Afghanistan"	2007	22
"Afghanistan"	2008	78
"Afghanistan"	2009	280
"Afghanistan"	2010	245
"Afghanistan"	2011	520
"Afghanistan"	2012	410
"Afghanistan"	2013	144
"Algeria"	2010	11
"Algeria"	2011	11
"Angola"	2013	1
"Argentina"	2003	11
"Argentina"	2004	19
"Argentina"	2005	3
"Argentina"	2006	9
"Argentina"	2007	15
"Argentina"	2008	17
"Argentina"	2009	8
"Argentina"	2010	3
"Argentina"	2011	1
"Argentina"	2012	3
"Argentina"	2013	6
"Australia"	2003	165
"Australia"	2004	114
"Australia"	2005	101
"Australia"	2006	348
"Australia"	2007	574
"Australia"	2008	320
"Australia"	2009	610
"Australia"	2010	1389
"Australia"	2011	1004
"Australia"	2012	589
"Australia"	2013	148
"Azerbaijan"	2009	0
"Azerbaijan"	2010	1
"Azerbaijan"	2011	1
"Azerbaijan"	2012	2
"Azerbaijan"	2013	0
"Bahamas"	2005	3
"Bahamas"	2009	1
"Bahrain"	2003	1
"Bahrain"	2005	63
"Bahrain"	2006	3
"Bahrain"	2007	26
"Bahrain"	2008	2
"Bahrain"	2010	68
"Bahrain"	2013	60
"Bangladesh"	2013	56
"Belgium"	2003	21
"Belgium"	2004	9
"Belgium"	2005	3
"Belgium"	2006	3
"Belgium"	2007	4
"Belgium"	2008	6
"Belgium"	2009	12
"Belgium"	2010	3
"Belgium"	2011	2
"Belgium"	2012	6
"Belgium"	2013	2
"Bolivia"	2011	1
"Bolivia"	2012	1
"Bolivia"	2013	1
"Botswana"	2009	2
"Botswana"	2010	2
"Brazil"	2003	8
"Brazil"	2004	20
"Brazil"	2005	18
"Brazil"	2006	18
"Brazil"	2007	19
"Brazil"	2008	33
"Brazil"	2009	0
"Brazil"	2010	24
"Brazil"	2011	84
"Brazil"	2012	111
"Brazil"	2013	69
"Brunei"	2003	0
"Brunei"	2004	0
"Brunei"	2013	15
"Bulgaria"	2007	3
"Bulgaria"	2008	5
"Bulgaria"	2011	3
"Cameroon"	2010	10
"Cameroon"	2013	2
"Canada"	2003	57
"Canada"	2004	71
"Canada"	2005	96
"Canada"	2006	68
"Canada"	2007	409
"Canada"	2008	359
"Canada"	2009	99
"Canada"	2010	197
"Canada"	2011	319
"Canada"	2012	189
"Canada"	2013	170
"Central African Republic"	2006	9
"Chad"	2006	1
"Chile"	2003	8
"Chile"	2004	16
"Chile"	2006	254
"Chile"	2007	81
"Chile"	2009	30
"Chile"	2010	132
"Chile"	2011	39
"Chile"	2012	38
"Chile"	2013	31
"Colombia"	2003	96
"Colombia"	2005	4
"Colombia"	2006	27
"Colombia"	2007	122
"Colombia"	2008	16
"Colombia"	2009	147
"Colombia"	2010	58
"Colombia"	2011	80
"Colombia"	2012	77
"Colombia"	2013	99
"Congo"	2010	1
"Costa Rica"	2012	1
"Czech Republic"	2003	18
"Czech Republic"	2005	40
"Czech Republic"	2006	0
"Czech Republic"	2008	14
"Czech Republic"	2009	1
"Czech Republic"	2010	2
"Czech Republic"	2011	3
"Czech Republic"	2012	2
"Czech Republic"	2013	0
"Denmark"	2003	8
"Denmark"	2004	140
"Denmark"	2005	26
"Denmark"	2006	8
"Denmark"	2007	85
"Denmark"	2008	6
"Denmark"	2009	0
"Denmark"	2012	36
"Denmark"	2013	32
"Dominican Republic"	2003	8
"Dominican Republic"	2004	35
"DR Congo"	2009	28
"Ecuador"	2005	4
"Ecuador"	2009	1
"Ecuador"	2010	10
"Egypt"	2003	345
"Egypt"	2004	500
"Egypt"	2005	590
"Egypt"	2006	455
"Egypt"	2007	396
"Egypt"	2008	263
"Egypt"	2009	82
"Egypt"	2010	249
"Egypt"	2011	160
"Egypt"	2012	177
"Egypt"	2013	494
"El Salvador"	2003	10
"El Salvador"	2012	2
"Equatorial Guinea"	2007	1
"Equatorial Guinea"	2009	2
"Equatorial Guinea"	2012	5
"Estonia"	2003	11
"Finland"	2008	9
"Finland"	2009	9
"Finland"	2010	9
"Finland"	2011	2
"Finland"	2013	75
"France"	2003	17
"France"	2004	78
"France"	2005	2
"France"	2006	2
"France"	2008	2
"France"	2010	51
"France"	2011	23
"France"	2012	39
"France"	2013	55
"Gabon"	2010	1
"Georgia"	2008	2
"Georgia"	2009	4
"Germany (FRG)"	2003	22
"Germany (FRG)"	2004	89
"Germany (FRG)"	2005	56
"Germany (FRG)"	2006	16
"Germany (FRG)"	2007	16
"Germany (FRG)"	2008	269
"Germany (FRG)"	2009	319
"Germany (FRG)"	2010	255
"Germany (FRG)"	2011	47
"Germany (FRG)"	2012	25
"Germany (FRG)"	2013	42
"Ghana"	2007	2
"Ghana"	2011	2
"Ghana"	2012	2
"Greece"	2003	1526
"Greece"	2004	828
"Greece"	2005	102
"Greece"	2006	20
"Greece"	2007	253
"Greece"	2008	10
"Greece"	2009	924
"Greece"	2010	151
"Greece"	2011	19
"Greece"	2012	6
"Greece"	2013	9
"Honduras"	2008	0
"Honduras"	2011	0
"Honduras"	2012	0
"Hungary"	2006	30
"Hungary"	2007	25
"Hungary"	2009	4
"Hungary"	2010	18
"Hungary"	2011	4
"Hungary"	2013	2
"India"	2006	84
"India"	2007	89
"India"	2008	5
"India"	2009	2
"India"	2010	54
"India"	2011	203
"India"	2012	139
"India"	2013	986
"Indonesia"	2003	8
"Indonesia"	2004	4
"Indonesia"	2005	4
"Indonesia"	2006	11
"Indonesia"	2007	17
"Indonesia"	2008	14
"Indonesia"	2011	0
"Indonesia"	2012	35
"Indonesia"	2013	85
"Iraq"	2004	6
"Iraq"	2005	43
"Iraq"	2006	55
"Iraq"	2007	150
"Iraq"	2008	281
"Iraq"	2009	311
"Iraq"	2010	343
"Iraq"	2011	397
"Iraq"	2012	340
"Iraq"	2013	255
"Ireland"	2006	1
"Ireland"	2007	3
"Ireland"	2008	3
"Israel"	2003	104
"Israel"	2004	839
"Israel"	2005	1114
"Israel"	2006	1110
"Israel"	2007	809
"Israel"	2008	663
"Israel"	2009	134
"Israel"	2010	41
"Israel"	2011	59
"Israel"	2012	107
"Israel"	2013	65
"Italy"	2003	478
"Italy"	2004	406
"Italy"	2005	68
"Italy"	2006	22
"Italy"	2007	42
"Italy"	2008	43
"Italy"	2009	14
"Italy"	2010	30
"Italy"	2011	231
"Italy"	2012	161
"Italy"	2013	26
"Jamaica"	2007	3
"Jamaica"	2008	2
"Jamaica"	2010	1
"Japan"	2003	415
"Japan"	2004	355
"Japan"	2005	348
"Japan"	2006	412
"Japan"	2007	489
"Japan"	2008	661
"Japan"	2009	578
"Japan"	2010	348
"Japan"	2011	276
"Japan"	2012	217
"Japan"	2013	250
"Jordan"	2003	102
"Jordan"	2004	36
"Jordan"	2005	5
"Jordan"	2006	3
"Jordan"	2007	164
"Jordan"	2008	32
"Jordan"	2009	15
"Jordan"	2010	6
"Jordan"	2011	24
"Jordan"	2012	38
"Jordan"	2013	39
"Kazakhstan"	2004	19
"Kazakhstan"	2007	6
"Kazakhstan"	2008	3
"Kazakhstan"	2009	3
"Kazakhstan"	2012	3
"Kenya"	2011	1
"Kenya"	2012	1
"Kuwait"	2003	21
"Kuwait"	2005	5
"Kuwait"	2006	5
"Kuwait"	2007	279
"Kuwait"	2009	1
"Kuwait"	2010	37
"Kuwait"	2011	36
"Kuwait"	2012	22
"Kuwait"	2013	52
"Latvia"	2003	11
"Latvia"	2009	11
"Latvia"	2010	14
"Lebanon"	2005	1
"Lebanon"	2009	16
"Lebanon"	2010	10
"Lebanon"	2012	31
"Lebanon"	2013	21
"Libya"	2012	4
"Lithuania"	2003	1
"Lithuania"	2004	3
"Lithuania"	2005	3
"Lithuania"	2006	13
"Lithuania"	2007	4
"Lithuania"	2008	3
"Lithuania"	2009	3
"Lithuania"	2012	0
"Luxembourg"	2003	1
"Macedonia (FYROM)"	2006	0
"Malaysia"	2003	31
"Malaysia"	2004	10
"Malaysia"	2005	2
"Malaysia"	2006	14
"Malaysia"	2007	14
"Malaysia"	2009	10
"Malaysia"	2010	12
"Malaysia"	2011	2
"Malaysia"	2013	0
"Malta"	2011	8
"Malta"	2012	8
"Mexico"	2003	15
"Mexico"	2004	90
"Mexico"	2005	8
"Mexico"	2006	29
"Mexico"	2008	20
"Mexico"	2009	27
"Mexico"	2010	28
"Mexico"	2011	90
"Mexico"	2012	49
"Mexico"	2013	47
"Morocco"	2006	20
"Morocco"	2009	3
"Morocco"	2010	33
"Morocco"	2011	439
"Morocco"	2012	430
"Morocco"	2013	45
"Namibia"	2012	5
"NATO**"	2009	420
"Netherlands"	2003	45
"Netherlands"	2004	95
"Netherlands"	2005	55
"Netherlands"	2006	237
"Netherlands"	2007	28
"Netherlands"	2008	12
"Netherlands"	2009	88
"Netherlands"	2010	38
"Netherlands"	2011	13
"Netherlands"	2012	148
"Netherlands"	2013	130
"New Zealand"	2003	48
"New Zealand"	2004	33
"New Zealand"	2006	0
"New Zealand"	2007	1
"New Zealand"	2008	2
"Niger"	2013	2
"Nigeria"	2003	12
"Nigeria"	2011	54
"Norway"	2003	14
"Norway"	2004	5
"Norway"	2005	3
"Norway"	2006	65
"Norway"	2007	71
"Norway"	2008	119
"Norway"	2009	107
"Norway"	2010	85
"Norway"	2011	81
"Norway"	2012	68
"Norway"	2013	26
"Oman"	2003	4
"Oman"	2004	13
"Oman"	2005	148
"Oman"	2006	284
"Oman"	2007	16
"Oman"	2008	71
"Oman"	2009	2
"Oman"	2010	2
"Oman"	2012	38
"Oman"	2013	35
"Pakistan"	2003	24
"Pakistan"	2004	74
"Pakistan"	2005	171
"Pakistan"	2006	109
"Pakistan"	2007	395
"Pakistan"	2008	303
"Pakistan"	2009	146
"Pakistan"	2010	1027
"Pakistan"	2011	269
"Pakistan"	2012	276
"Pakistan"	2013	151
"Panama"	2009	5
"Panama"	2012	15
"Paraguay"	2011	1
"Paraguay"	2012	1
"Paraguay"	2013	0
"Peru"	2003	22
"Peru"	2004	47
"Peru"	2005	25
"Peru"	2006	22
"Peru"	2009	2
"Peru"	2010	5
"Peru"	2011	2
"Peru"	2012	5
"Peru"	2013	8
"Philippines"	2003	3
"Philippines"	2004	20
"Philippines"	2005	12
"Philippines"	2006	13
"Philippines"	2007	13
"Philippines"	2008	10
"Philippines"	2009	0
"Philippines"	2011	60
"Philippines"	2012	6
"Philippines"	2013	55
"Poland"	2003	14
"Poland"	2004	5
"Poland"	2005	11
"Poland"	2006	346
"Poland"	2007	850
"Poland"	2008	481
"Poland"	2009	87
"Poland"	2010	41
"Poland"	2011	16
"Poland"	2012	16
"Portugal"	2003	29
"Portugal"	2004	57
"Portugal"	2005	33
"Portugal"	2006	43
"Portugal"	2007	58
"Portugal"	2008	88
"Portugal"	2009	90
"Portugal"	2010	89
"Portugal"	2011	89
"Portugal"	2012	29
"Qatar"	2009	280
"Qatar"	2011	150
"Qatar"	2012	280
"Romania"	2005	14
"Romania"	2006	3
"Romania"	2007	22
"Romania"	2008	2
"Romania"	2009	32
"Romania"	2010	61
"Romania"	2011	42
"Romania"	2012	3
"Romania"	2013	3
"Saudi Arabia"	2003	117
"Saudi Arabia"	2004	324
"Saudi Arabia"	2005	153
"Saudi Arabia"	2006	172
"Saudi Arabia"	2007	150
"Saudi Arabia"	2008	248
"Saudi Arabia"	2009	244
"Saudi Arabia"	2010	358
"Saudi Arabia"	2011	397
"Saudi Arabia"	2012	394
"Saudi Arabia"	2013	607
"Senegal"	2011	2
"Serbia"	2012	0
"Seychelles"	2013	1
"Singapore"	2003	51
"Singapore"	2004	366
"Singapore"	2005	534
"Singapore"	2006	34
"Singapore"	2007	11
"Singapore"	2008	28
"Singapore"	2009	760
"Singapore"	2010	717
"Singapore"	2011	482
"Singapore"	2012	456
"Singapore"	2013	670
"Somalia"	2013	1
"South Africa"	2006	14
"South Africa"	2007	30
"South Africa"	2008	11
"South Africa"	2009	9
"South Africa"	2010	13
"South Africa"	2011	16
"South Africa"	2012	9
"South Korea"	2003	593
"South Korea"	2004	873
"South Korea"	2005	619
"South Korea"	2006	1359
"South Korea"	2007	1234
"South Korea"	2008	1121
"South Korea"	2009	209
"South Korea"	2010	1220
"South Korea"	2011	1490
"South Korea"	2012	979
"South Korea"	2013	107
"South Sudan"	2012	0
"South Sudan"	2013	2
"Spain"	2003	186
"Spain"	2004	164
"Spain"	2005	5
"Spain"	2006	81
"Spain"	2007	22
"Spain"	2008	18
"Spain"	2009	50
"Spain"	2010	7
"Spain"	2011	40
"Spain"	2012	116
"Spain"	2013	64
"Sri Lanka"	2003	3
"Sri Lanka"	2004	13
"Sri Lanka"	2007	2
"Sri Lanka"	2011	10
"Suriname"	2012	0
"Sweden"	2003	26
"Sweden"	2004	26
"Sweden"	2005	58
"Sweden"	2006	56
"Sweden"	2007	24
"Sweden"	2008	9
"Sweden"	2009	2
"Sweden"	2011	150
"Sweden"	2012	185
"Sweden"	2013	16
"Switzerland"	2004	18
"Switzerland"	2007	2
"Switzerland"	2008	1
"Switzerland"	2009	2
"Switzerland"	2010	30
"Switzerland"	2011	16
"Switzerland"	2012	5
"Switzerland"	2013	2
"Taiwan"	2003	111
"Taiwan"	2004	314
"Taiwan"	2005	642
"Taiwan"	2006	504
"Taiwan"	2007	12
"Taiwan"	2008	11
"Taiwan"	2010	37
"Taiwan"	2011	138
"Taiwan"	2012	424
"Taiwan"	2013	549
"Thailand"	2003	126
"Thailand"	2004	37
"Thailand"	2005	17
"Thailand"	2006	5
"Thailand"	2009	4
"Thailand"	2010	1
"Thailand"	2011	50
"Thailand"	2012	21
"Thailand"	2013	54
"Total"	2003	5670
"Total"	2004	6850
"Total"	2005	6777
"Total"	2006	7512
"Total"	2007	7866
"Total"	2008	6828
"Total"	2009	6912
"Total"	2010	8063
"Total"	2011	9087
"Total"	2012	9122
"Total"	2013	7660
"Trinidad and Tobago"	2007	6
"Trinidad and Tobago"	2011	12
"Trinidad and Tobago"	2012	12
"Tunisia"	2003	1
"Tunisia"	2006	2
"Tunisia"	2008	3
"Tunisia"	2010	7
"Tunisia"	2011	7
"Tunisia"	2013	38
"Turkey"	2003	232
"Turkey"	2004	129
"Turkey"	2005	272
"Turkey"	2006	5
"Turkey"	2007	25
"Turkey"	2008	49
"Turkey"	2009	21
"Turkey"	2010	11
"Turkey"	2011	333
"Turkey"	2012	1009
"Turkey"	2013	363
"UAE"	2003	36
"UAE"	2004	381
"UAE"	2005	1260
"UAE"	2006	996
"UAE"	2007	472
"UAE"	2008	677
"UAE"	2009	394
"UAE"	2010	153
"UAE"	2011	863
"UAE"	2012	923
"UAE"	2013	1063
"United Kingdom"	2003	439
"United Kingdom"	2004	171
"United Kingdom"	2005	15
"United Kingdom"	2006	109
"United Kingdom"	2007	302
"United Kingdom"	2008	419
"United Kingdom"	2009	270
"United Kingdom"	2010	311
"United Kingdom"	2011	201
"United Kingdom"	2012	390
"United Kingdom"	2013	331
"Unknown recipient(s)"	2010	3
"Venezuela"	2003	15
"Yemen"	2006	3
"Yemen"	2008	5
"Yemen"	2011	12
"Yemen"	2013	4
